Job ID,Agency,Posting Type,Total Positions,Title Classification,Level,Job Category,Full-Time/Part-Time indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency,Work Location,Hours/Shift,Residency Requirement,Posting Date,Job Postings Year
545812,DEPT OF ENVIRONMENT PROTECTION,External,5,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual,Harding Expressway,TBD,TBD,8/22/22,2022
601797,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),88026,122295,Annual,Harding Expressway,TBD,Not required,10/6/23,2023
584195,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),56972,157803,Annual,Staten Islands,TBD,Not required,5/16/23,2023
606332,DEPARTMENT FOR THE AGING,Internal,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),59116,67983,Annual,Lafayette Street,TBD,Required,10/13/23,2023
585699,DEPT OF DESIGN & CONSTRUCTION,External,1,Competitive-1,M1,"Engineering, Architecture, & Planning",TBD,Experienced (non-manager),56972,123150,Annual,Queens,35 Hours Per Week,Not required,7/17/23,2023
603230,DEPT OF HEALTH/MENTAL HYGIENE,Internal,3,Competitive-1,M1,Health,P,Experienced (non-manager),19.2,28.81,Hourly,Brooklyn,TBD,Hybrid,9/7/23,2023
527791,NYC HOUSING AUTHORITY,Internal,1,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),56.8,56.8,Hourly,Brooklyn,TBD,Not required,5/13/22,2022
602801,NYC EMPLOYEES RETIREMENT SYS,External,1,Competitive-1,M1,"Technology, Data & Innovation ",F,Experienced (non-manager),85371,98177,Annual,Brooklyn,TBD,Required,9/5/23,2023
582748,DEPT OF HEALTH/MENTAL HYGIENE,Internal,4,Competitive-1,M1,Health,F,Experienced (non-manager),45722,52580,Annual,NYC - All Boroughs,TBD,Required,9/26/23,2023
608047,OFFICE OF RACIAL EQUITY,External,10,Pending Classification-2,M0,Communications & Intergovernmental Affairs,F,Manager,0,85000,Annual,Broadway,TBD,New York City residency is required.,11/22/23,2023
583976,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),84468,97138,Annual,28th Street,TBD,Required,9/13/23,2023
587838,OFFICE OF THE COMPTROLLER,Internal,1,Pending Classification-2,M2,"Finance, Accounting, & Procurement",F,Executive,150000,165000,Annual,Centre Street,TBD,Required,9/17/23,2023
611340,DISTRICT ATTORNEY RICHMOND COU,Internal,1,Non-Competitive-5,1,Legal Affairs,F,Entry-Level,50000,55000,Annual,Staten Islands,TBD,Required,10/13/23,2023
602521,DEPT OF CITYWIDE ADMIN SVCS,External,1,Non-Competitive-5,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),82506,94882,Annual,Centre Street,TBD,Required,11/24/23,2023
606474,OFFICE OF EMERGENCY MANAGEMENT,External,1,Pending Classification-2,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),60000,60000,Annual,Cadman Plaza,TBD,Required,10/24/23,2023
592848,NYC HOUSING AUTHORITY,Internal,2,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),61010,81050,Annual,Program Management,TBD,Not required,11/1/23,2023
597843,DEPARTMENT OF TRANSPORTATION,External,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),94715,136260,Annual,Water Street,TBD,Required,8/22/23,2023
598123,DEPARTMENT OF TRANSPORTATION,External,1,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),47418,69462,Annual,Court Street,35 Hours Per Week,Required,11/17/23,2023
594294,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),78745,95110,Annual,Queens,35 Hours Per Week,Not required,8/2/23,2023
591071,DEPT OF ENVIRONMENT PROTECTION,External,1,Non-Competitive-5,M0,"Finance, Accounting, & Procurement",F,Manager,97830,225000,Annual,Corona,35 Hours Per Week,Required,6/28/23,2023
617582,BRONX DISTRICT ATTORNEY,Internal,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),65000,65000,Annual,Bronx,TBD,Not required,11/27/23,2023
575536,TAXI & LIMOUSINE COMMISSION,External,4,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),40091,54018,Annual,Queens,TBD,Required,9/29/23,2023
552250,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53702,148745,Annual,Harding Expressway,TBD,Required,9/30/22,2022
608054,OFFICE OF RACIAL EQUITY,External,1,Pending Classification-2,M0,Administration & Human Resources,F,Manager,0,90000,Annual,Broadway,TBD,New York City residency is required.,11/27/23,2023
571648,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M1,Social Services,F,Experienced (non-manager),51869,59649,Annual,Vanderbilt Avenue,40 hours per week,Not required,2/1/23,2023
572363,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,M1,Social Services,F,Experienced (non-manager),102292,145000,Annual,Metrotech,40 hours per week,Required,3/17/23,2023
593519,CAMPAIGN FINANCE BOARD,Internal,1,Pending Classification-2,M0,Communications & Intergovernmental Affairs,F,Manager,115000,130000,Annual,Church Street,TBD,Not required,8/3/23,2023
595567,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62370,71726,Annual,Queens,35 Hours Per Week,Not required,10/26/23,2023
580585,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),40017,62820,Annual,Harding Expressway,35 Hours Per Week,Required,8/13/23,2023
576253,ADMIN FOR CHILDREN'S SVCS,Internal,6,Competitive-1,M1,Social Services,F,Experienced (non-manager),66442,98484,Annual,William Street,TBD,Required,10/16/23,2023
597709,HRA/DEPT OF SOCIAL SERVICES,Internal,4,Competitive-1,M1,Social Services,F,Experienced (non-manager),64495,74169,Annual,World Trade Center,40 hours per week,Not required,8/9/23,2023
608332,OFFICE OF RACIAL EQUITY,External,1,Pending Classification-2,M0,Administration & Human Resources,F,Manager,58700,135000,Annual,Broadway,TBD,New York City residency is required.,11/27/23,2023
584059,HRA/DEPT OF SOCIAL SERVICES,External,2,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),44009,50610,Annual,World Trade Center,40 hours per week,Not required,11/2/23,2023
579996,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,"Technology, Data & Innovation",F,Experienced (non-manager),85371,119883,Annual,Harding Expressway,35 Hours Per Week,Not required,4/8/23,2023
589444,DEPARTMENT OF TRANSPORTATION,External,3,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),71255,104894,Annual,Water Street,35 Hours Per Week,Required,6/17/23,2023
582506,DEPARTMENT OF TRANSPORTATION,Internal,1,Non-Competitive-5,0,"Engineering, Architecture, & Planning",F,Student,15,17.5,Hourly,Water Street,35 Hours Per Week,Hybrid,4/17/23,2023
613914,OFFICE OF CRIMINAL JUSTICE,External,1,Non-Competitive-5,1,Legal Affairs,F,Entry-Level,41887,65000,Annual,Centre Street,TBD,Required,10/27/23,2023
599800,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M0,Administration & Human Resources,F,Manager,94715,136260,Annual,Pearl Street,40 hours per week,Required,9/6/23,2023
584890,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),65640,85646,Annual,Corona,TBD,Not required,5/16/23,2023
573623,FINANCIAL INFO SVCS AGENCY,External,1,Competitive-1,M1,"Technology, Data & Innovation",F,Experienced (non-manager),32850,48940,Annual,Manhattan,35 Hours Per Week,Required,2/8/23,2023
598648,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),72603,83493,Annual,28th Street,TBD,Required,8/15/23,2023
600557,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Non-Competitive-5,M1,"Technology, Data & Innovation ",F,Experienced (non-manager),75000,130000,Annual,Metrotech,35 Hours Per Week,Not required,9/29/23,2023
611370,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),82506,97565,Annual,28th Street,TBD,Required,10/16/23,2023
598690,OFFICE OF MANAGEMENT & BUDGET,Internal,2,Pending Classification-2,1,"Finance, Accounting, & Procurement",F,Entry-Level,51550,73806,Annual,Greenwich Street,TBD,Required,8/15/23,2023
605239,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),98470,133496,Annual,Harding Expressway,35 Hours Per Week,Not required,11/27/23,2023
577984,FINANCIAL INFO SVCS AGENCY,Internal,1,Non-Competitive-5,M1,"Technology, Data & Innovation",F,Experienced (non-manager),115000,130000,Annual,Manhattan,35 Hours Per Week,Not required,3/27/23,2023
595478,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),82506,94000,Annual,28th Street,TBD,Required,9/27/23,2023
559809,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),40017,62820,Annual,47TH Street,TBD,Required,9/27/23,2023
610165,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,"Policy, Research & Analysis",F,Experienced (non-manager),70087,70087,Annual,Brooklyn,TBD,Required,10/11/23,2023
561334,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),64749,134280,Annual,Harding Expressway,35 Hours Per Week,Hybrid,12/20/22,2022
589699,OFFICE OF LABOR RELATIONS,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),82506,103548,Annual,Cortlandt Street,TBD,Hybrid,7/17/23,2023
607969,NYC EMPLOYEES RETIREMENT SYS,Internal,1,Competitive-1,M1,"Technology, Data & Innovation",F,Experienced (non-manager),95000,120000,Annual,Brooklyn,TBD,Not required,9/26/23,2023
602070,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,Health,F,Experienced (non-manager),105746,125000,Annual,47TH Street,TBD,Hybrid,9/7/23,2023
615588,BRONX DISTRICT ATTORNEY,Internal,1,Competitive-1,M0,Administration & Human Resources,F,Manager,85000,85000,Annual,Bronx,TBD,Not required,11/9/23,2023
591408,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),58682,108150,Annual,Queens,35 Hours Per Week,Not required,9/21/23,2023
595351,TAXI & LIMOUSINE COMMISSION,External,1,Competitive-1,M1,Constituent Services & Community Programs,TBD,Experienced (non-manager),35895,44000,Annual,LIC,TBD,Hybrid,7/31/23,2023
596908,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62370,71726,Annual,Queens,35 Hours Per Week,Not required,8/9/23,2023
589793,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Constituent Services & Community Programs,P,Experienced (non-manager),78.04,90.31,Hourly,28th Street,TBD,Not required,10/30/23,2023
574968,DEPT OF ENVIRONMENT PROTECTION,Internal,6,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),41033,47188,Annual,Brooklyn,TBD,Hybrid,2/19/23,2023
609668,HOUSING PRESERVATION & DVLPMNT,External,1,Exempt-4,M2,Constituent Services & Community Programs,F,Executive,190000,207000,Annual,Gold Street,TBD,Hybrid,10/5/23,2023
603798,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),58700,173486,Annual,Water Street,35 Hours Per Week,Hybrid,9/16/23,2023
540191,BRONX DISTRICT ATTORNEY,External,15,Exempt-4,M1,Legal Affairs,F,Experienced (non-manager),80440,167610,Annual,Bronx,TBD,New York City residency is required.,7/19/23,2023
601967,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),43669,54557,Annual,Worth Street.,TBD,Hybrid,9/22/23,2023
603920,DEPT OF HEALTH/MENTAL HYGIENE,External,2,Competitive-1,M1,Health,P,Experienced (non-manager),19.2,28.81,Hourly,47TH Street,TBD,Hybrid,9/8/23,2023
527831,NYC HOUSING AUTHORITY,External,1,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),56.8,56.8,Hourly,Manhattan,TBD,Not required,5/12/22,2022
590018,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),73579,111321,Annual,Worth Street.,TBD,Hybrid,8/3/23,2023
595982,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,M0,"Engineering, Architecture, & Planning",F,Manager,85372,129661,Annual,Centre Street,35 Hours Per Week,Not required,10/13/23,2023
