Job ID,Agency,Posting Type,Total Positions,Civil Service Title,Title Classification,Level,Job Category,Full-Time/Part-Time indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Hours/Shift,Residency Requirement,Posting Date,Job Postings Year
593391,DEPT OF HEALTH/MENTAL HYGIENE,External,1,ADMINISTRATIVE PUBLIC HEALTH N,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),58700,117000,Annual,47TH Street,SH Medical,TBD,Not required,8/22/23,2023
600570,DEPT OF DESIGN & CONSTRUCTION,External,1,ASSISTANT CIVIL ENGINEER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62370,71726,Annual,Queens,INFRA/CONST MGT1/STATLND/SEC1,35 Hours Per Week,Not required,10/10/23,2023
602727,DEPARTMENT OF TRANSPORTATION,External,1,CYBER SECURITY ANALYST,Competitive-1,1,"Technology, Data & Innovation",F,Entry-Level,78795,113300,Annual,Water Street,IT & Telecom,TBD,Required,9/9/23,2023
585466,DEPT OF YOUTH & COMM DEV SRVS,External,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),68046,82335,Annual,Lafayette Street,IT - Application Development,35 Hours Per Week,Required,7/31/23,2023
571110,DEPARTMENT OF TRANSPORTATION,Internal,1,CIVIL ENGINEER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90114,122168,Annual,Water Street,Bureau of Bridges Exec Hdqtr,35 Hours Per Week,Not required,2/2/23,2023
607791,DEPT. OF HOMELESS SERVICES,Internal,18,COMMUNITY COORDINATOR,Non-Competitive-5,M1,Administration & Human Resources,F,Experienced (non-manager),59116,91768,Annual,Beaver Street,Housing Emergency Ref Op,40 hours per week,Required,11/16/23,2023
601911,LAW DEPARTMENT,Internal,12,ASSISTANT CORPORATION COUNSEL,Exempt-4,M1,Legal Affairs,F,Experienced (non-manager),78034,155751,Annual,Church Street,Special Federal Litigation-F,TBD,Not required,11/13/23,2023
582618,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ADM ENGINEER (NON MGRL),Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53702,123150,Annual,Queens,PUB BLDGS/A+E/ENGINEERING,35 Hours Per Week,Not required,8/23/23,2023
609959,DEPT OF HEALTH/MENTAL HYGIENE,External,1,FAMILY PUB HEALTH NURSE (HMH),Pending Classification-2,M1,Health,F,Experienced (non-manager),97012,97012,Annual,100Th Street,MIRH Nurse Family Partnership,TBD,Not required,11/22/23,2023
616184,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,M1,"Health Policy, Research & Analysis",F,Experienced (non-manager),103026,118480,Annual,47TH Street,World Trde Centr Hlth Registry,TBD,Required,11/14/23,2023
549839,DEPARTMENT OF TRANSPORTATION,External,1,IT SECURITY SPECIALIST,Non-Competitive-5,1,"Technology, Data & Innovation",F,Entry-Level,0,150000,Annual,Water Street,IT & Telecom,TBD,Not required,1/17/23,2023
606333,DEPT OF DESIGN & CONSTRUCTION,Internal,1,COMMUNITY COORDINATOR,Non-Competitive-5,M1,"Health Policy, Research & Analysis ",F,Experienced (non-manager),59116,91768,Annual,Queens,Office Of Commissioner,35 Hours Per Week,Required,9/26/23,2023
615540,TECHNOLOGY & INNOVATION,External,1,COMMUNITY ASSOCIATE,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),48170,48170,Annual,Maiden Lane,311 Operations,TBD,Required,11/21/23,2023
609323,HRA/DEPT OF SOCIAL SERVICES,External,2,ASSOCIATE BENEFITS OPPORTUNITY,Competitive-1,M1,Social Services,F,Experienced (non-manager),56677,65179,Annual,Bronx,FIA Operations-NM,40 hours per week,Not required,10/3/23,2023
607493,DEPT. OF HOMELESS SERVICES,External,1,COMMUNITY COORDINATOR,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),59116,91768,Annual,30TH Street,Adult Services,40 hours per week,Required,10/2/23,2023
589862,DEPT OF ENVIRONMENT PROTECTION,External,2,MACHINIST,Competitive-1,1,Building Operations & Maintenance,F,Entry-Level,37.28,43.4,Hourly,180th Street,QUEENS REPAIRS,TBD,Hybrid,6/12/23,2023
588726,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ADM CONSTRUCTION PRJ MGR-NM,Competitive-1,M1,Communications & Intergovernmental Affairs,F,Experienced (non-manager),58682,159671,Annual,Harding Expressway,BEDC EXEC / ADMINISTRATION,TBD,Not required,8/25/23,2023
581073,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ADMINISTRATIVE PROJECT MANAGER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53702,95110,Annual,Queens,PUB BLDGS/CPD/HS,35 Hours Per Week,Not required,8/3/23,2023
527762,NYC HOUSING AUTHORITY,Internal,1,ADMINISTRATIVE HOUSING SUPERIN,Competitive-1,M0,Administration & Human Resources,F,Manager,58700,161534,Annual,Brooklyn,Brooklyn Property Management,TBD,Not required,5/13/22,2022
597024,DEPT OF HEALTH/MENTAL HYGIENE,External,1,PUBLIC HEALTH ADVISER,Competitive-1,M1,Health,F,Experienced (non-manager),51528,60088,Annual,Brooklyn,MIRH Newborn Home Visiting,TBD,Required,8/24/23,2023
570680,DEPT OF HEALTH/MENTAL HYGIENE,Internal,81,JR PHNURSE (SCH HLTH)>20 HR PT,Non-Competitive-5,M1,Constituent Services & Community Programs,P,Experienced (non-manager),41.69,41.69,Hourly,NYC - All Boroughs,SH Nursing Services & Prof Dev,TBD,Hybrid,9/7/23,2023
577755,DEPT OF CITYWIDE ADMIN SVCS,Internal,1,ADMINISTRATIVE SUPERVISOR OF B,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),90000,100000,Annual,Centre Street,Office of Energy Conservatio,TBD,Not required,11/24/23,2023
608328,OFFICE OF RACIAL EQUITY,Internal,1,RESEARCH PROJECTS COOR(MA)-MGR,Pending Classification-2,M0,Administration & Human Resources,F,Manager,58700,120000,Annual,Broadway,Program Staff,TBD,New York City residency is required.,11/27/23,2023
601045,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,M1,"Health Policy, Research & Analysis",F,Experienced (non-manager),92301,110000,Annual,Brooklyn,CHECW - BKLYN.NEGHBHD HLTH.,TBD,Required,8/25/23,2023
612728,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,M1,"Policy, Research & Analysis",F,Experienced (non-manager),82506,94882,Annual,47TH Street,Public Health Engineering,TBD,Required,10/23/23,2023
611786,DEPT OF PARKS & RECREATION,External,1,FORESTER,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),70000,75000,Annual,Flushing Meadow,Forestry & Horticulture,TBD,Not required,11/2/23,2023
616415,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ASSOCIATE PROJECT MANAGER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),81571,93807,Annual,Queens,PUB BLDGS/EXEC,TBD,Not required,11/17/23,2023
603391,DEPT OF ENVIRONMENT PROTECTION,Internal,5,BOROUGH COMMISSIONER (DEP),Pending Classification-2,M0,Communications & Intergovernmental Affairs,F,Manager,64922,150000,Annual,Corona,PUBLIC AFFAIRS - ADMIN,35 Hours Per Week,Required,10/25/23,2023
587811,HRA/DEPT OF SOCIAL SERVICES,External,1,ADMIN CONTRACT SPECIALIST (PYR,Competitive-1,M0,Administration & Human Resources,F,Manager,72038,192152,Annual,Broadway,DSS ACCOUNTABILITY OFFICE NM,TBD,Required,7/26/23,2023
613363,DEPT OF HEALTH/MENTAL HYGIENE,External,3,PUBLIC HEALTH SANITARIAN,Competitive-1,1,"Public Safety, Inspections, & Enforcement",F,Entry-Level,49961,57455,Annual,Worth Street.,Healthy Homes Progam,TBD,Required,10/25/23,2023
599670,DEPARTMENT OF TRANSPORTATION,Internal,1,INVESTIGATOR,Competitive-1,M1,Legal Affairs,F,Experienced (non-manager),24.8106,39.6158,Hourly,Maiden Lane,Litigation Svs and Record Mgmt,35 Hours Per Week,Hybrid,8/24/23,2023
554086,DEPT OF ENVIRONMENT PROTECTION,Internal,2,ASSISTANT ELECTRICAL ENGINEER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual,Harding Expressway,ELEC AND INSTR CONTRACTS - IFA,TBD,Not required,10/6/22,2022
615400,DEPARTMENT OF FINANCE,Internal,1,BUSINESS RESEARCH & DATA ANALY,Non-Competitive-5,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),80517,86830,Annual,Maiden Lane,Tax Policy Data Intelligence G,TBD,Required,11/20/23,2023
563522,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ADMINISTRATIVE ENGINEER,Competitive-1,M0,"Engineering, Architecture, & Planning",F,Manager,64922,151469,Annual,Corona,"CAP. PLAN. - ADMIN.,BLUEBELT",TBD,Not required,10/18/23,2023
527794,NYC HOUSING AUTHORITY,External,1,PLASTERER,Competitive-1,1,Building Operations & Maintenance,F,Entry-Level,48.27,48.27,Hourly,Brooklyn,Brooklyn Property Management,TBD,Not required,5/12/22,2022
605984,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,SOCIAL WORKER,Competitive-1,M1,Health Social Services,F,Experienced (non-manager),55816,72033,Annual,28th Street,MH - Assisted out Treatment,TBD,Required,9/19/23,2023
595380,DEPT OF DESIGN & CONSTRUCTION,External,1,COMMUNITY ASSOCIATE,Non-Competitive-5,M1,Administration & Human Resources,F,Experienced (non-manager),41887,55316,Annual,Queens,HRSD/PAYROLL,35 Hours Per Week,Required,10/4/23,2023
564456,DEPARTMENT OF TRANSPORTATION,External,2,STAFF ANALYST,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),62470,80008,Annual,Queens,Authorized Parking & Permit,35 Hours Per Week,Required,2/2/23,2023
545830,DEPARTMENT OF CORRECTION,Internal,4,LICENSED BARBER (CORRECTION),Non-Competitive-5,1,Health,F,Entry-Level,35197,40477,Annual,Hazen Street,Facility Personnel Employees,TBD,Not required,7/18/23,2023
590657,DEPT. OF HOMELESS SERVICES,External,7,CASEWORKER,Competitive-1,M1,Social Services,F,Experienced (non-manager),45329,77633,Annual,Beaver Street,Rehousing Division,TBD,Not required,6/29/23,2023
586358,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ASSISTANT ENVIRONMENTAL ENGINE,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),60554,90861,Annual,Harding Expressway,COLLECTIONS ENGINEERING,35 Hours Per Week,Not required,5/16/23,2023
582448,FIRE DEPARTMENT,Internal,1,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,M2,Communications & Intergovernmental Affairs,F,Executive,94715,120000,Annual,Brooklyn,Commissioners' Offices,TBD,Required,4/20/23,2023
591348,DEPT OF ENVIRONMENT PROTECTION,External,2,GEOLOGIST,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53902,65000,Annual,Gold Street,OFFICE OF BROWNFIELDS,35 Hours Per Week,Required,7/14/23,2023
570670,DEPT OF HEALTH/MENTAL HYGIENE,External,1,PUBLIC HEALTH NURSE,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),84252,84252,Annual,47TH Street,SH Nursing Services & Prof Dev,TBD,Not required,11/16/23,2023
614297,DEPT OF HEALTH/MENTAL HYGIENE,External,1,ADMIN CONTRACT SPECIALIST (PYR,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),72038,150000,Annual,28th Street,Acco/Contracts,TBD,Required,10/31/23,2023
606513,NYC HOUSING AUTHORITY,Internal,1,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,M0,Legal Affairs,F,Manager,95000,105000,Annual,Policy,Law Dept-Legal Counsel,TBD,Not required,9/29/23,2023
614519,DEPT OF HEALTH/MENTAL HYGIENE,External,1,CLERICAL ASSOCIATE,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),43728,50000,Annual,100Th Street,Food Safety & Community Sanit,TBD,Required,11/6/23,2023
612417,DEPARTMENT OF TRANSPORTATION,Internal,1,ASSOCIATE STAFF ANALYST,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),70611,105138,Annual,Water Street,Bureau of Bridges Exec Hdqtr,35 Hours Per Week,Required,10/25/23,2023
545812,DEPT OF ENVIRONMENT PROTECTION,External,5,ASSISTANT ENVIRONMENTAL ENGINE,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual,Harding Expressway,BWT - ADMINISTRATION/PERSONNEL,TBD,TBD,8/22/22,2022
601797,DEPT OF ENVIRONMENT PROTECTION,External,1,MECHANICAL ENGINEER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),88026,122295,Annual,Harding Expressway,TUNNEL MECHANICAL SYSTEM,TBD,Not required,10/6/23,2023
584195,DEPT OF ENVIRONMENT PROTECTION,External,1,ADMINISTRATIVE PROJECT MANAGER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),56972,157803,Annual,Staten Islands,UPSTATE CAPITAL CONSTR. - IFA,TBD,Not required,5/16/23,2023
606332,DEPARTMENT FOR THE AGING,Internal,1,COMMUNITY COORDINATOR,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),59116,67983,Annual,Lafayette Street,Elder Justice,TBD,Required,10/13/23,2023
585699,DEPT OF DESIGN & CONSTRUCTION,External,1,ADM CONSTRUCTION PRJ MGR-NM,Competitive-1,M1,"Engineering, Architecture, & Planning",TBD,Experienced (non-manager),56972,123150,Annual,Queens,PUB BLDGS/CPD/Courts,35 Hours Per Week,Not required,7/17/23,2023
603230,DEPT OF HEALTH/MENTAL HYGIENE,Internal,3,PUBLIC HEALTH ASSISTANT (SCHOO,Competitive-1,M1,Health,P,Experienced (non-manager),19.2,28.81,Hourly,Brooklyn,SH Vision,TBD,Hybrid,9/7/23,2023
527791,NYC HOUSING AUTHORITY,Internal,1,SUPERVISOR CARPENTER,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),56.8,56.8,Hourly,Brooklyn,Brooklyn Property Management,TBD,Not required,5/13/22,2022
602801,NYC EMPLOYEES RETIREMENT SYS,External,1,CYBER SECURITY ANALYST,Competitive-1,M1,"Technology, Data & Innovation ",F,Experienced (non-manager),85371,98177,Annual,Brooklyn,Executive Management,TBD,Required,9/5/23,2023
582748,DEPT OF HEALTH/MENTAL HYGIENE,Internal,4,PUBLIC HEALTH SANITARIAN,Competitive-1,M1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45722,52580,Annual,NYC - All Boroughs,Child Care,TBD,Required,9/26/23,2023
608047,OFFICE OF RACIAL EQUITY,External,10,RESEARCH PROJECTS COORDINATOR,Pending Classification-2,M0,Communications & Intergovernmental Affairs,F,Manager,0,85000,Annual,Broadway,Program Staff,TBD,New York City residency is required.,11/22/23,2023
583976,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),84468,97138,Annual,28th Street,Communicable Diseases,TBD,Required,9/13/23,2023
587838,OFFICE OF THE COMPTROLLER,Internal,1,DIRECTOR OF AUDITS (OFFICE OF,Pending Classification-2,M2,"Finance, Accounting, & Procurement",F,Executive,150000,165000,Annual,Centre Street,Financial Audit,TBD,Required,9/17/23,2023
611340,DISTRICT ATTORNEY RICHMOND COU,Internal,1,COMMUNITY ASSOCIATE,Non-Competitive-5,1,Legal Affairs,F,Entry-Level,50000,55000,Annual,Staten Islands,Facilities Unit,TBD,Required,10/13/23,2023
602521,DEPT OF CITYWIDE ADMIN SVCS,External,1,CITY RESEARCH SCIENTIST,Non-Competitive-5,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),82506,94882,Annual,Centre Street,Office of Energy Conservatio,TBD,Required,11/24/23,2023
606474,OFFICE OF EMERGENCY MANAGEMENT,External,1,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification-2,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),60000,60000,Annual,Cadman Plaza,Response Bureau,TBD,Required,10/24/23,2023
592848,NYC HOUSING AUTHORITY,Internal,2,ASSOC INSPECTOR (HOUSING CONST,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),61010,81050,Annual,Program Management,Program Management,TBD,Not required,11/1/23,2023
597843,DEPARTMENT OF TRANSPORTATION,External,1,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),94715,136260,Annual,Water Street,Facilities Management,TBD,Required,8/22/23,2023
598123,DEPARTMENT OF TRANSPORTATION,External,1,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),47418,69462,Annual,Court Street,RRM Brooklyn (Admin),35 Hours Per Week,Required,11/17/23,2023
594294,DEPT OF DESIGN & CONSTRUCTION,Internal,1,CONSTRUCTION PROJECT MANAGER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),78745,95110,Annual,Queens,PUB BLDGS/CPD/Library/Queens,35 Hours Per Week,Not required,8/2/23,2023
591071,DEPT OF ENVIRONMENT PROTECTION,External,1,DEPUTY COMMISSIONER (DEP),Non-Competitive-5,M0,"Finance, Accounting, & Procurement",F,Manager,97830,225000,Annual,Corona,CHIEF FINANCIAL OFFICER,35 Hours Per Week,Required,6/28/23,2023
617582,BRONX DISTRICT ATTORNEY,Internal,1,COMMUNITY COORDINATOR,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),65000,65000,Annual,Bronx,Support Staff,TBD,Not required,11/27/23,2023
575536,TAXI & LIMOUSINE COMMISSION,External,4,OPERATIONS COMMUNICATION SPECI,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),40091,54018,Annual,Queens,Enforcement Admin,TBD,Required,9/29/23,2023
552250,DEPT OF ENVIRONMENT PROTECTION,Internal,1,ADMINISTRATIVE PROJECT MANAGER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),53702,148745,Annual,Harding Expressway,NYPA COORDINATION,TBD,Required,9/30/22,2022
608054,OFFICE OF RACIAL EQUITY,External,1,RESEARCH PROJECTS COORDINATOR,Pending Classification-2,M0,Administration & Human Resources,F,Manager,0,90000,Annual,Broadway,Program Staff,TBD,New York City residency is required.,11/27/23,2023
571648,HRA/DEPT OF SOCIAL SERVICES,Internal,1,ASSOCIATE JOB OPPORTUNITY SPEC,Competitive-1,M1,Social Services,F,Experienced (non-manager),51869,59649,Annual,Vanderbilt Avenue,FIA Operations-NM,40 hours per week,Not required,2/1/23,2023
572363,HRA/DEPT OF SOCIAL SERVICES,External,1,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,M1,Social Services,F,Experienced (non-manager),102292,145000,Annual,Metrotech,Mgmt Information System-NM,40 hours per week,Required,3/17/23,2023
593519,CAMPAIGN FINANCE BOARD,Internal,1,DIRECTOR OF PUBLIC RELATIONS (,Pending Classification-2,M0,Communications & Intergovernmental Affairs,F,Manager,115000,130000,Annual,Church Street,Managerial,TBD,Not required,8/3/23,2023
595567,DEPT OF DESIGN & CONSTRUCTION,Internal,1,ASSISTANT CIVIL ENGINEER,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62370,71726,Annual,Queens,SSS/QA/Quality Assurance,35 Hours Per Week,Not required,10/26/23,2023
580585,DEPT OF ENVIRONMENT PROTECTION,Internal,1,CLERICAL ASSOCIATE,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),40017,62820,Annual,Harding Expressway,Dept of Environment Protection,35 Hours Per Week,Required,8/13/23,2023
576253,ADMIN FOR CHILDREN'S SVCS,Internal,6,PROGRAM EVALUATOR (ACS),Competitive-1,M1,Social Services,F,Experienced (non-manager),66442,98484,Annual,William Street,Office Of Central SVCS (FPS),TBD,Required,10/16/23,2023
597709,HRA/DEPT OF SOCIAL SERVICES,Internal,4,ASSOCIATE BENEFITS OPPORTUNITY,Competitive-1,M1,Social Services,F,Experienced (non-manager),64495,74169,Annual,World Trade Center,FIA Operations-NM,40 hours per week,Not required,8/9/23,2023
608332,OFFICE OF RACIAL EQUITY,External,1,RESEARCH PROJECTS COOR(MA)-MGR,Pending Classification-2,M0,Administration & Human Resources,F,Manager,58700,135000,Annual,Broadway,Program Staff,TBD,New York City residency is required.,11/27/23,2023
584059,HRA/DEPT OF SOCIAL SERVICES,External,2,CASEWORKER,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),44009,50610,Annual,World Trade Center,Domestic Violence-NM,40 hours per week,Not required,11/2/23,2023
